State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,Core Set Year,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2023,Medicaid only,Administrative,49.9,48,51.5,42.5,60.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2023,Medicaid only,Administrative,65.6,48,69.6,61.8,76.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2023,CHIP only,Administrative,49.3,48,51.5,42.5,60.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2023,CHIP only,Administrative,64.8,48,69.6,61.8,76.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2023,Medicaid only,Administrative,17.9,41,22.8,19.5,28.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2023,Medicaid only,Administrative,39.7,44,33.7,28.1,42.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations. Rates were audited or validated.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2023,CHIP only,Administrative,DS,41,22.8,19.5,28.3,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2023,CHIP only,Administrative,DS,44,33.7,28.1,42.2,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2023,Medicaid only,Administrative,40.7,50,47.3,38.6,57.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2023,Medicaid only,Administrative,65.6,50,72.1,62.6,78.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17,2023,CHIP only,Administrative,40.6,50,47.3,38.6,57.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17,FUH-CH,Higher rates are better for this measure,Percentage of Discharges for Children Hospitalized for Treatment of Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17,2023,CHIP only,Administrative,66.4,50,72.1,62.6,78.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2023,Medicaid only,Administrative,37.0,50,46.0,42.0,50.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2023,Medicaid only,Administrative,94.0,49,54.1,49.0,60.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least One Follow-Up Visit During the 30-Day Initiation Phase: Ages 6 to 12 ,2023,CHIP only,Administrative,44.2,50,46.0,42.0,50.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State reported the following deviations: ""Many of the attention-deficit/hyperactivity disorder (ADHD) medications are also used in the treatment of narcolepsy. In order to have a precise ADHD measure, children with narcolepsy were removed from the denominator and both indicators as specified under the optional exclusions for this measure.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6 to 12,ADD-CH,Higher rates are better for this measure,Percentage Newly Prescribed ADHD Medication with at Least Two Follow-Up Visits in the 9-Month Continuation and Maintenance Phase: Ages 6 to 12,2023,CHIP only,Administrative,56.3,49,54.1,49.0,60.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.","CHIP rates include FFS population. The state described the ""other"" data source used to calculate the measure as the following: ""Separate CHIP claims data."" State reported the following deviations: ""Many of the attention-deficit/hyperactivity disorder (ADHD) medications are also used in the treatment of narcolepsy. In order to have a precise ADHD measure, children with narcolepsy were removed from the denominator and both indicators as specified under the optional exclusions for this measure.""",No
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2023,Medicaid only,Administrative,43.6,47,53.1,48.4,59.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2023,Medicaid only,Administrative,24.9,47,34.2,28.4,43.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2023,Medicaid only,Administrative,23.9,47,32.3,26.7,41.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2023 Core Set as of May 16, 2024.",Medicaid rates include FFS and PCCM populations.,Yes
